type,text,pattern_len,time_ns,time_var,found_count
SA,datasets/dblp/,509343,22435.4,2.2793e+08,1
FM,datasets/dblp/,509343,3.38583e+08,3.42192e+11,1
SA,datasets/dblp/,1018687,106659,7.80024e+08,1
FM,datasets/dblp/,1018687,6.66407e+08,3.96749e+11,1
SA,datasets/dblp/,1528030,169023,1.4691e+09,1
FM,datasets/dblp/,1528030,9.88307e+08,6.58338e+11,1
SA,datasets/dblp/,2037374,223357,1.92291e+09,1
FM,datasets/dblp/,2037374,1.33892e+09,9.84042e+11,1
SA,datasets/dblp/,2546717,279898,4.67933e+09,1
FM,datasets/dblp/,2546717,1.68784e+09,1.98551e+12,1
SA,datasets/dblp/,3056061,338110,9.16223e+09,1
FM,datasets/dblp/,3056061,1.96797e+09,3.45753e+12,1
SA,datasets/dblp/,3565404,392231,9.28185e+09,1
FM,datasets/dblp/,3565404,2.35516e+09,5.13121e+12,1
SA,datasets/dblp/,4074748,444069,9.12844e+09,1
FM,datasets/dblp/,4074748,2.68779e+09,8.34089e+14,1
SA,datasets/dblp/,4584091,498925,7.79347e+09,1
FM,datasets/dblp/,4584091,2.89914e+09,9.74675e+14,1
SA,datasets/dblp/,5093435,558368,1.41727e+10,1
FM,datasets/dblp/,5093435,3.17517e+09,2.87319e+13,1
