type,text,pattern_len,time_ns,time_var,found_count
SA,datasets/proteins/,522724,22717.1,2.22833e+08,1
FM,datasets/proteins/,522724,3.33153e+08,1.86525e+13,1
SA,datasets/proteins/,1045448,111618,4.09002e+08,1
FM,datasets/proteins/,1045448,6.51723e+08,4.4172e+12,1
SA,datasets/proteins/,1568172,170269,6.31802e+08,1
FM,datasets/proteins/,1568172,1.02667e+09,1.4668e+15,1
SA,datasets/proteins/,2090897,228323,2.20086e+09,1
FM,datasets/proteins/,2090897,1.29772e+09,1.05322e+14,1
SA,datasets/proteins/,2613621,283665,1.86138e+09,1
FM,datasets/proteins/,2613621,1.68416e+09,4.8992e+12,1
SA,datasets/proteins/,3136345,344728,4.32847e+09,1
FM,datasets/proteins/,3136345,2.10764e+09,4.20098e+12,1
SA,datasets/proteins/,3659070,400721,4.2143e+09,1
FM,datasets/proteins/,3659070,2.33321e+09,4.01892e+14,1
SA,datasets/proteins/,4181794,453736,4.82845e+09,1
FM,datasets/proteins/,4181794,2.847e+09,1.31264e+16,1
SA,datasets/proteins/,4704518,518311,1.05001e+10,1
FM,datasets/proteins/,4704518,3.43507e+09,2.09462e+13,1
SA,datasets/proteins/,5227243,570475,1.01682e+10,1
FM,datasets/proteins/,5227243,3.85347e+09,2.23168e+14,1
