type,text,pattern_len,time_ns,time_var,found_count
SA,datasets/sources/,492033,21403.9,1.86673e+08,1
FM,datasets/sources/,492033,2.21556e+08,5.70398e+11,1
SA,datasets/sources/,984067,96933.6,4.75787e+08,1
FM,datasets/sources/,984067,5.84064e+08,3.37064e+12,1
SA,datasets/sources/,1476101,156709,9.3154e+08,1
FM,datasets/sources/,1476101,9.1249e+08,1.16181e+12,1
SA,datasets/sources/,1968134,209386,1.79492e+09,1
FM,datasets/sources/,1968134,1.25598e+09,3.82641e+13,1
SA,datasets/sources/,2460168,260027,3.16036e+09,1
FM,datasets/sources/,2460168,1.44741e+09,2.08458e+14,1
SA,datasets/sources/,2952202,313185,4.62349e+09,1
FM,datasets/sources/,2952202,1.62751e+09,1.47237e+13,1
SA,datasets/sources/,3444235,361335,4.08831e+09,1
FM,datasets/sources/,3444235,1.90077e+09,3.00749e+12,1
SA,datasets/sources/,3936269,414326,5.07346e+09,1
FM,datasets/sources/,3936269,2.21141e+09,6.78685e+12,1
SA,datasets/sources/,4428303,473225,1.84863e+10,1
FM,datasets/sources/,4428303,2.40015e+09,4.58257e+13,1
SA,datasets/sources/,4920337,527285,1.77762e+10,1
FM,datasets/sources/,4920337,2.60498e+09,9.3176e+12,1
